Frame number,1840
First frame,1
Point frequency,200
Analog frequency,1000

Time,GRW1.F,,,GRW1,,,GRW2.F,,,GRW2,,
s,N,N,N,mm,mm,mm,N,N,N,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.375,-4.17595,54.7671,323.131,219.198,1015.65,0,7.12301,-49.8428,267.398,185.955,1439.2,0
0.38,-3.46647,54.8827,322.037,219.367,1015.48,0,7.33156,-50.7765,266.688,185.883,1438.12,0
0.385,-3.74774,54.7904,321.675,217.683,1015.06,0,7.20622,-49.9966,266.258,186.347,1438.12,0
0.39,-3.64233,54.981,322.745,217.904,1014.62,0,6.13369,-50.2639,266.697,187.246,1439.41,0
0.395,-3.31628,54.9866,323.453,217.042,1014.84,0,6.75525,-49.6383,264.124,187.204,1438.74,0
0.4,-3.02454,55.1133,323.826,217.118,1014.59,0,5.88878,-49.8283,261.995,186.846,1437.86,0
0.405,-2.86821,55.2752,324.936,217.352,1013.78,0,5.83317,-49.1912,263.482,188.454,1438.05,0
0.41,-3.21884,55.3558,326.418,216.856,1014.18,0,5.356,-48.9351,265.63,188.104,1438.14,0
0.415,-2.50696,55.387,329.674,217.19,1014.89,0,5.19749,-48.8449,263.784,189.264,1438.2,0
0.42,-2.68287,55.2114,329.329,217.109,1015.01,0,4.99583,-48.7464,265.88,190.269,1437.49,0
0.425,-2.49773,55.4773,332.972,217.031,1014.56,0,4.83178,-48.4857,263.469,189.827,1437.4,0
0.43,-2.57825,55.6298,332.296,217.418,1014.07,0,4.98809,-48.3659,263.752,190.262,1436.01,0
0.435,-2.81244,54.6696,331.877,217.754,1014.2,0,5.33746,-47.8247,263.08,190.662,1435.9,0
0.44,-2.73465,54.8495,329.84,218.56,1013.65,0,5.43739,-47.6328,262.734,191.5,1437.11,0
0.445,-3.37176,55.5076,331.517,218.626,1013.97,0,5.41752,-47.5474,263.143,191.383,1436.08,0
0.45,-3.09496,55.3582,331.922,219.836,1012.63,0,5.33789,-47.5328,263.813,191.881,1435.75,0
0.455,-3.575,55.0699,331.905,219.956,1012.58,0,4.90585,-47.3829,262.379,192.418,1434.96,0
0.46,-4.09691,55.2289,329.67,220.101,1013.32,0,5.41006,-47.1801,263.826,193.661,1435.95,0
0.465,-4.63794,55.9072,328.724,221.094,1013.51,0,4.72278,-46.9109,261.712,193.583,1435.66,0
0.47,-4.7351,55.2856,327.546,220.855,1012.91,0,4.9517,-46.548,263.038,193.531,1436.79,0
0.475,-5.36086,55.4362,327.105,221.179,1012.36,0,4.46078,-46.9048,259.086,195.023,1433.97,0
0.48,-5.86779,54.7901,325.683,221.449,1013.31,0,3.54538,-46.0381,260.085,194.16,1435,0
0.485,-6.0447,54.3146,324.641,221.93,1012.73,0,3.50353,-45.432,257.635,196.17,1434.37,0
0.49,-6.22957,53.2517,321.424,222.43,1013.38,0,2.92761,-45.8387,256.489,197.429,1432.42,0
0.495,-6.54897,52.6689,319.224,222.969,1013.7,0,2.16614,-44.9309,258.773,197.724,1434.03,0
0.5,-6.28338,52.858,319.836,222.751,1012.75,0,1.37212,-44.4635,256.158,199.865,1432,0
0.505,-6.43022,52.2868,316.936,224.156,1013.82,0,0.782596,-43.7405,255.456,200.54,1431.56,0
0.51,-6.22159,52.2825,316.268,224.132,1013.27,0,-0.127671,-43.596,255.752,202.205,1431.69,0
0.515,-6.49207,51.7538,310.844,223.926,1014.8,0,-0.29981,-43.4858,255.028,202.431,1432.44,0
0.52,-6.69268,51.7391,308.178,224.449,1013.96,0,-0.470392,-43.2907,253.141,202.493,1430.35,0
0.525,-6.84153,50.9298,306.099,225.077,1014.28,0,0.591346,-42.8276,252,203.067,1431.46,0
0.53,-6.94314,50.62,302.112,225.336,1015.36,0,1.15272,-42.4388,249.828,203.123,1431.84,0
0.535,-8.21751,49.3163,298.68,226.319,1015.38,0,1.58866,-42.3275,247.654,203.75,1431.63,0
0.54,-8.80574,48.7514,294.265,225.97,1014.8,0,1.87092,-42.1614,244.654,203.293,1430.41,0
0.545,-9.8969,47.709,285.892,226.422,1016.07,0,2.17688,-42.2172,244.642,203.597,1431.19,0
0.55,-9.10715,46.417,279.368,225.59,1014.79,0,2.28132,-42.1962,243.946,202.899,1430.95,0
0.555,-8.18092,45.3237,271.272,225.534,1015.12,0,2.80522,-41.6115,245.533,203.267,1431.29,0
0.56,-7.25422,44.2963,264.263,224.798,1015.28,0,3.32758,-42.5322,244.775,203.402,1430.33,0
0.565,-5.88548,43.2426,256.556,224.519,1015.91,0,3.43877,-42.4226,244.595,203.519,1430.97,0
0.57,-4.31888,41.7982,246.797,223.649,1015.99,0,3.98958,-42.3566,245.274,204.446,1429.25,0
0.575,-3.65674,40.5452,243.767,222.241,1015.19,0,3.16681,-42.1212,244.113,203.999,1428.3,0
0.58,-3.3986,38.5725,237.155,223.373,1016.74,0,2.7749,-42.0935,244.614,205.428,1429.1,0
0.585,-3.28425,38.1126,235.053,222.524,1016.35,0,1.86602,-41.3152,241.727,206.823,1427.47,0
0.59,-2.70529,37.302,233.464,222.875,1017.66,0,1.30116,-40.975,243.154,208.009,1427.78,0
0.595,-2.23451,36.6011,229.938,223.177,1019.31,0,-0.429235,-40.2361,244.588,208.414,1427.37,0
0.6,-2.36818,36.1478,229.794,222.891,1018.4,0,-1.32687,-39.5612,240.898,209.854,1426.42,0
0.605,-2.38961,35.6802,227.408,223.2,1019.95,0,-2.69561,-38.5926,237.595,210.365,1424.59,0
0.61,-2.55894,35.7619,228.428,223.024,1019.26,0,-3.90273,-37.2929,233.867,212.438,1426.02,0
0.615,-2.54891,35.7262,226.915,224.83,1020.06,0,-4.58156,-36.1674,226.328,212.52,1423.72,0
0.62,-2.01545,35.8156,228.428,223.943,1019.56,0,-4.62084,-34.9313,219.987,212.404,1424.52,0
0.625,-1.76696,36.7273,226.617,225.663,1021.06,0,-4.43867,-34.4754,214.286,213.225,1422.9,0
0.63,-1.66965,36.2542,229.054,226.077,1020.01,0,-4.46029,-33.9523,206.183,213.361,1423.76,0
0.635,-2.11269,36.9549,230.922,226.014,1020.15,0,-3.12088,-33.1453,201.248,212.827,1423.73,0
0.64,-1.63178,36.6548,232.047,227.722,1021.33,0,-2.28517,-32.9039,194.972,212.001,1422.8,0
0.645,-2.10017,37.3009,234.601,227.867,1021.49,0,-1.36714,-32.2194,188.527,214.039,1422.23,0
0.65,-2.72828,37.5727,236.071,228.733,1022.38,0,-0.951173,-31.8366,183.223,212.106,1423.21,0
0.655,-3.18866,38.3676,239.384,229.84,1020.66,0,0.186691,-32.0465,178.102,214.219,1423.24,0
0.66,-2.94191,38.9114,241.172,232.057,1023.04,0,0.942648,-32.5084,174.288,214.216,1422.99,0
0.665,-3.97521,39.8789,242.372,232.184,1024.2,0,1.93997,-32.7228,171.458,213.762,1420.99,0
0.67,-4.27763,40.3909,246.382,232.636,1022.92,0,2.32194,-33.0811,170.44,216.582,1418.44,0
0.675,-3.06759,41.5812,249.536,233.478,1023.05,0,2.92148,-34.1599,173.475,218.054,1418.73,0
0.68,-2.8344,42.9796,250.916,235.099,1023.87,0,3.05968,-34.7928,177.35,218.799,1419.73,0
0.685,-1.81538,44.3453,250.987,234.884,1023.86,0,3.06582,-35.2254,182.002,222.037,1417.68,0
0.69,-1.41688,44.3704,249.186,235.517,1024.33,0,2.77899,-35.8111,189.019,223.856,1418.21,0
0.695,-1.41339,44.6359,247.719,235.644,1024.22,0,1.25744,-35.7069,195.175,226.423,1416.98,0
0.7,-1.57162,43.7539,244.41,236.532,1023.32,0,0.0947754,-35.8864,199.446,228.888,1416.37,0
0.705,-1.57743,43.8029,240.699,236.023,1023.64,0,-1.34263,-35.8557,202.498,228.835,1414.76,0
0.71,-2.13555,43.1076,239.509,237.453,1021.65,0,-2.69432,-36.6091,208.937,231.28,1414.47,0
0.715,-1.8985,43.3176,237.688,237.029,1023.31,0,-3.64974,-37.7116,216.626,233.044,1414.83,0
0.72,-1.83191,44.0537,236.308,238.476,1023.05,0,-4.85058,-38.386,219.949,235.121,1414.38,0
0.725,-1.28264,44.4369,238.782,238.853,1023.91,0,-5.27077,-39.0337,226.027,235.795,1415.32,0
0.73,-1.51628,44.7244,237.265,240.099,1024.51,0,-6.51773,-39.4356,225.446,236.484,1415.36,0
0.735,-2.27253,43.9581,237.758,239.593,1022.7,0,-7.23652,-39.8107,227.495,236.698,1415,0
0.74,-3.20713,43.5324,234.931,241.833,1023.76,0,-7.72882,-40.3066,224.242,237.783,1415.12,0
0.745,-3.6472,43.259,237.731,242.005,1022.45,0,-7.01938,-40.5262,225.326,238.408,1414.78,0
0.75,-5.03045,42.1282,239.197,243.912,1023.43,0,-6.64356,-41.7435,226.594,239.178,1414.36,0
0.755,-5.12654,41.4417,238.079,245.313,1024.03,0,-5.60002,-42.1165,228.533,238.824,1415.87,0
0.76,-5.43036,41.9691,240.233,245.434,1025.19,0,-4.71968,-42.5429,227.619,239.25,1414.4,0
0.765,-6.03579,42.3759,243.089,246.891,1024.1,0,-3.48788,-41.9964,226.64,239.114,1416.76,0
0.77,-6.35364,42.9892,247.991,247.207,1024.93,0,-2.37875,-42.3271,225.255,239.777,1415.83,0
0.775,-6.31096,42.779,249.658,248.441,1025.52,0,-1.62123,-41.6107,223.377,240.014,1414.63,0
0.78,-6.6466,42.8774,251.413,248.641,1024.67,0,-0.298342,-41.4809,223.831,240.975,1414.86,0
0.785,-6.87639,41.6687,245.807,250.246,1027.44,0,0.256589,-41.2887,226.377,241.162,1414.15,0
0.79,-7.53256,39.8189,245.576,251.181,1025.67,0,1.2387,-40.6492,230.021,241.857,1413.32,0
0.795,-8.40228,38.5983,244.679,251.357,1026.33,0,1.11271,-40.4313,235.914,242.442,1414.23,0
0.8,-8.80762,37.0174,239.428,253.429,1028.1,0,0.695029,-40.1691,237.993,244.418,1413.48,0
0.805,-9.43172,35.7834,237.257,254.373,1028.42,0,0.691817,-38.2464,239.487,245.059,1412.13,0
0.81,-9.80334,34.7633,236.04,256.985,1029.11,0,-0.0500563,-38.1181,240.923,247.15,1411.68,0
0.815,-9.87859,33.8658,235.226,257.5,1030.34,0,-1.01308,-36.6642,241.921,248.18,1411.61,0
0.82,-9.20418,33.3755,234.345,258.134,1030.51,0,-1.39009,-35.5058,241.306,249.958,1410.8,0
0.825,-8.84985,32.8815,231.859,259.469,1029.88,0,-2.69226,-34.9003,240.196,251.939,1409.72,0
0.83,-7.88356,31.8056,227.696,260.185,1031.45,0,-2.87363,-34.6531,244.942,252.608,1410.69,0
