Frame number,1337
First frame,1
Point frequency,200
Analog frequency,1000

Time,GRW1.F,,,GRW1,,,GRW2.F,,,GRW2,,
s,N,N,N,mm,mm,mm,N,N,N,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.79,-5.54636,19.9539,294.609,234.716,971.803,0,0.385319,-25.4804,316.185,223.953,1433.17,0
0.795,-6.34852,19.7577,294.543,234.324,972.024,0,-0.140604,-25.0901,316.43,222.977,1434.03,0
0.8,-6.60391,19.4229,294.721,234.364,972.803,0,-0.473887,-24.9569,316.183,223.224,1432.85,0
0.805,-7.23506,19.9166,296.386,234.956,972.038,0,-0.40034,-24.3937,315.823,222.496,1434.21,0
0.81,-7.52447,19.9288,295.225,234.191,972.72,0,-1.1325,-24.2767,314.693,222.704,1434.19,0
0.815,-7.33086,19.7464,295.592,234.246,972.602,0,-1.18812,-24.5356,314.512,222.025,1434.63,0
0.82,-7.46484,19.7599,296.198,234.275,972.335,0,-1.55501,-24.6191,315.241,221.545,1434.34,0
0.825,-7.82753,20.1475,298.486,233.932,972.125,0,-1.2541,-24.1391,318.161,221.27,1435.53,0
0.83,-7.77164,19.5409,300.703,233.982,971.542,0,-1.73008,-24.3835,319.102,220.582,1435.3,0
0.835,-8.00549,19.7464,302.75,232.643,971.632,0,-2.00231,-24.208,322.901,220.077,1436.23,0
0.84,-8.52204,19.1803,302.019,232.555,971.899,0,-1.73846,-24.6896,323.737,220.18,1435.95,0
0.845,-8.26875,18.7174,305.261,232.344,972.373,0,-2.8498,-24.4399,326.208,219.467,1435.85,0
0.85,-9.1767,19.1453,305.938,232.671,972.015,0,-3.6247,-24.2436,329.327,218.464,1436.57,0
0.855,-9.12848,19.2327,309.702,232.073,971.28,0,-3.46473,-23.8042,328.113,218.548,1436.04,0
0.86,-8.4013,19.328,311.052,230.699,972.19,0,-3.84304,-23.4501,332.556,218.593,1437.03,0
0.865,-8.41254,19.4548,313.172,230.14,971.848,0,-4.04142,-23.1561,332.152,218.058,1436.56,0
0.87,-7.82352,19.9232,315.946,229.603,971.668,0,-3.53668,-23.1474,333.49,217.076,1437.14,0
0.875,-7.80599,19.9476,316.178,229.67,971.67,0,-2.99087,-23.2524,335.298,216.887,1437.77,0
0.88,-7.83009,20.4581,316.797,228.933,971.378,0,-2.64492,-23.3677,337.014,215.872,1437.79,0
0.885,-6.77686,20.5743,318.953,228.134,971.51,0,-2.62628,-23.0298,339.968,214.724,1438.53,0
0.89,-6.80591,20.5657,319.894,227.937,972.001,0,-1.58796,-23.7825,341.718,214.647,1438.11,0
0.895,-6.64421,20.7514,321.937,226.469,971.246,0,-1.89187,-23.9538,341.486,213.935,1437.56,0
0.9,-5.90828,20.8446,323.781,227.036,971.006,0,-0.691114,-24.1173,343.842,214.161,1438.5,0
0.905,-5.43957,20.5963,323.86,226.169,972.092,0,-0.994662,-23.7614,344.421,213.116,1438.38,0
0.91,-5.1977,20.7951,326.954,225.158,972.209,0,-0.0648374,-23.841,346.611,211.137,1439.24,0
0.915,-4.31124,21.1202,326.203,224.218,971.565,0,0.043195,-23.9991,349.206,211.124,1439.22,0
0.92,-3.42525,21.5054,328.436,224.123,970.894,0,0.377393,-23.7441,349.333,211.123,1438.34,0
0.925,-2.85661,22.1394,328.827,223.139,970.652,0,1.05092,-23.7014,349.691,210.609,1438.84,0
0.93,-2.10362,22.716,330.641,222.526,971.04,0,1.76172,-23.9426,349.918,209.723,1439.4,0
0.935,-1.37631,23.2238,332.392,221.029,971.136,0,2.32225,-24.1612,348.163,209.638,1439.53,0
0.94,-0.972585,23.0265,331.316,221.169,970.805,0,2.39677,-24.3509,350.848,208.724,1439.39,0
0.945,-0.916909,23.1239,332.017,219.834,971.142,0,2.83798,-24.1146,348.613,208.007,1438.76,0
0.95,-0.564544,23.4662,331.839,219.174,971.534,0,3.35988,-24.2463,350.729,207.217,1440.07,0
0.955,-0.146105,23.654,331.415,218.432,971.326,0,3.53399,-23.9289,348.307,206.653,1439.14,0
0.96,0.306248,23.6039,328.822,218.713,971.398,0,3.75786,-24.2565,349.548,205.896,1439.92,0
0.965,0.291058,23.5408,332.049,218.181,970.419,0,4.34461,-24.0675,347.596,205.069,1440.6,0
0.97,0.161415,23.8453,328.848,217.207,971.183,0,4.94298,-24.5165,346.995,204.471,1439.94,0
0.975,0.368061,23.8914,332.32,215.856,969.545,0,5.13826,-24.3563,346.676,204.505,1440.03,0
0.98,0.635713,24.3482,330.299,216.727,969.442,0,5.40025,-24.6069,347.22,203.781,1441.12,0
0.985,1.19339,25.3124,331.914,215.224,968.659,0,6.08091,-25.6316,348.839,203.421,1441.1,0
0.99,1.79435,26.2965,331.192,215.646,968.17,0,6.36682,-26.2138,348.338,202.687,1441.38,0
0.995,1.92675,26.6019,332.326,214.84,969.177,0,6.99909,-26.8817,349.989,201.579,1440.92,0
1,2.96845,27.7459,332.161,214.817,968.162,0,6.67156,-28.3699,349.794,202.51,1440.93,0
1.005,2.5987,27.6866,331.27,214.627,968.78,0,7.08109,-27.9497,351.891,201.775,1441.35,0
1.01,2.50426,27.9613,330.481,214.385,968.829,0,6.47641,-29.0705,351.988,201.729,1441.55,0
1.015,2.33512,27.8681,333.07,213.89,967.665,0,7.31158,-28.9459,353.004,202.125,1441.71,0
1.02,2.86636,27.8181,331.547,214.387,968.986,0,7.37237,-30.0843,352.464,202.499,1440.71,0
1.025,3.21413,28.1701,334.072,214.699,969.348,0,7.35572,-30.2718,353.535,201.43,1441.68,0
1.03,2.87385,28.2834,333.555,215.099,969.002,0,7.5393,-30.5934,354.116,202.017,1441.1,0
1.035,3.33298,29.1767,335.459,214.503,968.123,0,7.91498,-31.6359,355.538,201.821,1441.7,0
1.04,3.25082,29.9705,332.646,215.572,969.315,0,8.19897,-32.2614,355.692,202.033,1441.48,0
1.045,3.12373,30.1439,333.651,215.535,968.372,0,8.33804,-32.7783,356.313,202.518,1441.85,0
