Frame number,1853
First frame,1
Point frequency,200
Analog frequency,1000

Time,GRW1.F,,,GRW1,,,GRW2.F,,,GRW2,,
s,N,N,N,mm,mm,mm,N,N,N,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.86,8.83643,21.7312,166.389,203.84,983.697,0,2.18884,-27.1812,160.113,208.491,1419.95,0
0.865,6.49195,23.5685,179.102,208.753,985.363,0,3.80193,-27.8988,159.391,210.742,1421.01,0
0.87,5.68555,26.7467,190.814,214.189,987.818,0,4.21112,-28.8468,161.842,211.493,1420.13,0
0.875,4.77681,29.8951,203.696,218.403,988.643,0,3.51345,-30.4132,162.3,214.384,1417.88,0
0.88,4.95813,32.5734,214.088,222.012,989.053,0,2.99421,-31.296,164.632,216.305,1417.25,0
0.885,5.16789,35.354,222.628,223.64,988.561,0,1.82573,-32.4226,168.82,219.119,1417.24,0
0.89,5.16167,36.9154,227.905,225.502,989.652,0,1.03114,-34.4254,171.911,221.935,1414.81,0
0.895,5.50117,37.9203,232.727,227.158,989.607,0,0.0891555,-36.2367,179.691,224.426,1416.18,0
0.9,5.4712,38.2634,233.144,229.567,990.165,0,-0.94973,-37.1837,185.715,227.601,1415.04,0
0.905,4.77827,37.958,234.928,229.36,990.476,0,-2.08108,-38.1833,191.932,230.4,1412.5,0
0.91,4.94084,37.9044,237.406,230.864,990.993,0,-2.97949,-37.1195,196.114,231.124,1413.03,0
0.915,5.77251,39.33,243.979,232.849,990.659,0,-4.19754,-36.0664,198.958,233.47,1411.37,0
0.92,6.6185,41.1034,251.249,233.039,991.785,0,-4.43262,-35.468,202.773,235.41,1411.09,0
0.925,8.06317,42.8608,257.459,233.547,991.584,0,-5.01263,-34.9785,203.334,236.746,1410.17,0
0.93,8.95227,44.6956,258.626,234.25,989.871,0,-6.1229,-33.891,200.257,237.714,1409.43,0
0.935,9.50371,46.3921,257.276,234.382,990.204,0,-6.19109,-33.7584,200.059,238.718,1407.91,0
0.94,9.6428,47.582,255.499,234.353,989.495,0,-6.5493,-33.7621,202.346,238.552,1408.22,0
0.945,9.10389,47.0808,253.76,233.784,988.035,0,-6.28096,-33.9992,202.667,240.152,1408.24,0
0.95,8.45223,47.0895,250.397,234.961,989.322,0,-7.20738,-34.2777,201.649,240.825,1410.01,0
0.955,7.51598,47.3006,251.747,234.504,989.016,0,-7.21335,-34.4951,200.75,240.643,1409.3,0
0.96,7.14986,46.9354,256.928,235.458,988.849,0,-7.35453,-35.3269,206.493,240.467,1408.31,0
0.965,6.4141,46.8878,262.933,236.866,988.942,0,-7.36024,-36.0541,207.709,241.666,1407.57,0
0.97,5.78674,47.4945,269.985,237.278,990.756,0,-7.45093,-36.1706,210.77,242.348,1408.97,0
