Frame number,1756
First frame,1
Point frequency,200
Analog frequency,1000

Time,GRW1.F,,,GRW1,,,GRW2.F,,,GRW2,,
s,N,N,N,mm,mm,mm,N,N,N,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.52,-7.15951,54.4761,284.591,218.384,973.134,0,-6.30819,-59.5357,306.924,224.488,1426.8,0
0.525,-7.4491,54.4878,284.631,219.216,973.34,0,-6.04411,-59.0724,307.313,224.161,1426.65,0
0.53,-7.50664,53.9326,283.158,219.451,973.566,0,-6.1649,-58.6463,307.16,225.09,1427.04,0
0.535,-7.52796,53.5079,283.795,219.994,973.235,0,-5.48399,-58.822,305.385,224.808,1426.01,0
0.54,-7.69496,53.2956,283.65,220.071,972.885,0,-5.76986,-58.5683,304.913,224.913,1425.51,0
0.545,-7.42767,53.0341,284.346,220.211,973.822,0,-6.00914,-58.1131,304.853,225.835,1426.45,0
0.55,-7.52173,53.2388,284.434,219.49,973.812,0,-6.26224,-57.5366,304.601,225.768,1425.77,0
0.555,-7.03399,53.2574,286.396,218.795,973.245,0,-5.93069,-57.2521,302.359,226.069,1425.82,0
0.56,-5.93661,53.7178,286.058,218.428,973.34,0,-6.20138,-56.7575,301.845,225.913,1425.69,0
0.565,-4.76759,54.0146,286.986,217.532,972.888,0,-6.1756,-57.0844,301.061,226.3,1425.29,0
0.57,-3.55063,54.0865,287.147,216.576,973.311,0,-5.59364,-56.8202,300.709,225.851,1425.77,0
0.575,-2.78883,54.9436,288.668,216.11,972.575,0,-5.48708,-56.8615,300.016,225.51,1425.74,0
0.58,-2.34172,55.0391,288.774,214.939,972.169,0,-5.01796,-56.6081,299.709,225.511,1425.25,0
0.585,-2.16333,55.1854,287.852,214.527,972.57,0,-4.97996,-56.5756,300.62,224.26,1425.3,0
0.59,-1.47003,55.2663,288.176,214.415,971.936,0,-4.73517,-56.5621,299.393,224.794,1424.64,0
0.595,-1.86688,55.5326,289.081,213.639,972.308,0,-4.56572,-56.7114,300.009,225.072,1425.25,0
0.6,-1.19283,55.6774,289.808,213.694,972.027,0,-4.69656,-56.3401,299.228,224.885,1425.2,0
0.605,-1.22726,55.7046,288.384,213.421,972.2,0,-4.83775,-56.7183,300.124,225.084,1425.27,0
0.61,-1.52359,55.8213,289.942,213.019,971.567,0,-5.45416,-56.3781,299.703,225.147,1424.57,0
0.615,-1.69546,55.8376,291.639,213.496,970.833,0,-5.76005,-56.6503,300.056,225.525,1425.58,0
0.62,-1.90447,55.5437,291.333,213.667,972.069,0,-5.81946,-56.62,299.529,225.384,1425.42,0
0.625,-1.62259,55.8242,292.845,213.926,971.148,0,-6.06009,-56.5897,299.986,225.565,1425.53,0
0.63,-1.98475,55.9754,291.614,214.532,972.599,0,-6.2099,-56.7212,301.098,225.631,1425.48,0
0.635,-1.82836,55.7283,293.956,214.583,972.054,0,-6.17132,-56.4476,301.168,226.162,1425.72,0
0.64,-1.78234,55.9466,292.051,214.76,972.158,0,-6.38564,-56.0296,300.338,226.473,1425.09,0
0.645,-2.12566,55.7261,292.432,215.091,972.156,0,-6.33096,-56.3985,300.129,226.999,1424.86,0
0.65,-2.29444,56.0445,294.581,215.593,971.773,0,-6.26383,-56.1936,299.874,227.107,1424.35,0
0.655,-2.60391,55.6612,292.831,215.839,972.399,0,-6.62843,-56.0578,299.454,227.524,1424.31,0
0.66,-3.02618,56.1431,290.93,216.122,972.082,0,-6.79119,-56.6382,299.682,227.648,1424.44,0
0.665,-3.28943,55.3133,292.597,216.016,971.654,0,-7.1091,-56.0862,300.067,227.871,1424.42,0
0.67,-3.68818,55.891,292.381,216.281,972.09,0,-7.11615,-56.0403,299.91,228.065,1423.68,0
0.675,-3.86,55.6035,291.1,216.035,972.396,0,-7.34256,-56.411,299.391,228.839,1423.89,0
0.68,-3.91093,55.313,291.34,215.688,972.441,0,-7.68272,-56.3579,301.063,228.58,1423.97,0
0.685,-4.19913,55.5404,291.623,216.052,971.913,0,-7.68018,-56.3496,299.565,229.56,1422.32,0
0.69,-4.35031,55.2142,291.095,216.341,972.551,0,-8.1681,-56.5029,300.842,229.603,1423.59,0
0.695,-3.9962,55.1197,290.217,215.908,972.269,0,-7.36668,-56.1857,300.8,229.433,1423.38,0
0.7,-3.89173,55.072,289.946,216.166,971.85,0,-7.3753,-56.3594,300.5,229.839,1423.47,0
0.705,-3.95822,55.1114,292.17,216.08,972.568,0,-6.78648,-56.0819,299.077,230.105,1423.37,0
0.71,-3.24592,55.4186,291.283,216.343,972.456,0,-6.36571,-56.2967,299.407,230.176,1423.51,0
0.715,-2.94885,54.9091,289.672,217.195,972.32,0,-6.20086,-56.4391,299.127,229.287,1423.11,0
0.72,-3.0375,55.0409,289.722,216.44,971.918,0,-5.65082,-56.4955,298.986,229.48,1423.61,0
0.725,-2.98237,54.8541,290.486,217.22,971.68,0,-5.33893,-56.7374,298.562,229.335,1423.27,0
0.73,-2.98404,55.1241,288.84,217.196,973.068,0,-5.22024,-56.0294,300.145,229.545,1423.71,0
0.735,-3.05379,55.131,288.61,217.707,972.773,0,-5.04288,-56.4374,299.069,229.088,1423.22,0
0.74,-3.39367,55.246,288.84,216.994,973.308,0,-5.584,-56.797,299.608,229.027,1422.72,0
0.745,-3.02856,55.1673,288.775,218.069,973.481,0,-4.9043,-56.1196,298.304,229.39,1422.95,0
0.75,-3.4006,55.4108,288.982,218.256,973.196,0,-4.89145,-56.0485,299.04,229.564,1422.83,0
0.755,-3.18681,54.833,289.672,218.41,973.656,0,-5.07395,-56.3619,298.102,230.088,1422.59,0
0.76,-2.9252,55.5301,289.728,218.524,973.606,0,-5.13384,-56.3097,298.771,229.703,1423.19,0
0.765,-3.16166,55.5572,290.323,218.66,973.88,0,-5.05182,-56.1067,298.994,230.212,1423.11,0
0.77,-3.20114,55.4126,290.678,218.571,973.701,0,-4.85691,-56.3402,298.24,229.856,1422.9,0
0.775,-2.6891,55.1311,291.859,219.457,973.906,0,-4.77682,-56.2257,299.498,230.858,1422.75,0
0.78,-3.60503,55.3522,290.608,219.639,973.937,0,-5.40869,-56.3728,299.903,231.004,1423.46,0
0.785,-3.19321,54.9669,290.552,219.424,974.428,0,-5.10461,-55.8852,298.074,231.129,1422.34,0
0.79,-3.64566,55.4111,291.059,220.658,974.555,0,-5.38498,-55.824,299.289,230.645,1422.89,0
0.795,-3.76202,54.8501,291.941,220.3,974.776,0,-5.72995,-55.9559,297.816,231.731,1422.4,0
0.8,-3.50447,55.014,293.121,221.159,974.859,0,-5.20074,-55.6707,298.231,231.776,1422.58,0
0.805,-4.21677,55.1,292.97,221.04,974.643,0,-5.4555,-55.4708,297.327,231.661,1421.75,0
0.81,-4.16945,54.9687,292.609,221.551,975.131,0,-5.19473,-55.2512,298.166,231.62,1422.62,0
0.815,-4.16952,54.8976,292.547,221.592,974.792,0,-5.26494,-55.0484,296.739,231.321,1422.01,0
0.82,-4.36128,54.779,293.428,221.809,975.134,0,-5.24586,-55.3,297.467,231.402,1421.61,0
